,tweet,text_clean,text_preprocessed
32,"@JohanaKriesta @worksfess dia kurang relate aja sama orang sini yamg berdesakan. selain ibukota overpopulated, udah gitu transportasi murah mangkanya bisa berdesakan. ojol itu meskipun deket kalo daerah macet + ujan pasti bisa 3 kali lipat dari harga biasa mangkanya peminat KRL atau busway banyak",dia kurang relate saja sama orang sini yamg berdesakan selain ibukota overpopulated sudah begitu transportasi murah mangkanya bisa berdesakan ojol itu meskipun dekat kalo daerah macet ujan pasti bisa kali lipat dari harga biasa mangkanya peminat krl atau busway banyak,"['dia', 'kurang', 'relate', 'saja', 'sama', 'orang', 'sini', 'yamg', 'berdesakan', 'selain', 'ibukota', 'overpopulated', 'sudah', 'begitu', 'transportasi', 'murah', 'mangkanya', 'bisa', 'berdesakan', 'ojol', 'itu', 'meskipun', 'dekat', 'kalo', 'daerah', 'macet', 'ujan', 'pasti', 'bisa', 'kali', 'lipat', 'dari', 'harga', 'biasa', 'mangkanya', 'peminat', 'krl', 'atau', 'busway', 'banyak']"
33,@musniumar Pemindahan ibukota negara memang proyek besar. Hanya presiden hebat yg bisa mengeksekusi. Semua hal yg terkait tentu sudah dipikirkan dan dibuat skenarionya. Kalau tidak paham mestinya bertabayyun kepada mereka yg punya rencana (bisa ke Bappenas atau kepala otorita).,pemindahan ibukota negara memang proyek besar hanya presiden hebat yang bisa mengeksekusi semua hal yang terkait tentu sudah dipikirkan dan dibuat skenarionya kalau tidak paham mestinya bertabayyun kepada mereka yang punya rencana bisa ke bappenas atau kepala otorita,"['pemindahan', 'ibukota', 'negara', 'memang', 'proyek', 'besar', 'hanya', 'presiden', 'hebat', 'yang', 'bisa', 'mengeksekusi', 'semua', 'hal', 'yang', 'terkait', 'tentu', 'sudah', 'dipikirkan', 'dan', 'dibuat', 'skenarionya', 'kalau', 'tidak', 'paham', 'mestinya', 'bertabayyun', 'kepada', 'mereka', 'yang', 'punya', 'rencana', 'bisa', 'ke', 'bappenas', 'atau', 'kepala', 'otorita']"
34,"@urcottoncandyy @worksfess Alasan aku yang besar di luar pulau jawa tak sanggup hidup di ibukota 🥲. Mode survival rebutan KRL, perjalanan jauh🤯. Semoga bahu teman-teman dikuatkan👍💪",alasan aku yang besar di luar pulau jawa tak sanggup hidup di ibukota 🥲 mode survival rebutan krl perjalanan jauh🤯 semoga bahu temanteman dikuatkan👍💪,"['alasan', 'aku', 'yang', 'besar', 'di', 'luar', 'pulau', 'jawa', 'tak', 'sanggup', 'hidup', 'di', 'ibukota', '!smiling_face_with_tear!', 'mode', 'survival', 'rebutan', 'krl', 'perjalanan', 'jauh!exploding_head!', 'semoga', 'bahu', 'temanteman', 'dikuatkan!thumbs_up!!flexed_biceps!']"
35,nyamannya melamun sambil liat kendaraan berlalu-lalang di Ibukota ☺,nyamannya melamun sambil lihat kendaraan berlalulalang di ibukota ☺,"['nyamannya', 'melamun', 'sambil', 'lihat', 'kendaraan', 'berlalulalang', 'di', 'ibukota', '☺']"
36,"Sebagai orang non ibukota baru tau tiket keretanya semacam bayar toll, bukan yang beli tiket KA pada umumnya😂. Makasih kak sudah mewakilkan",sebagai orang non ibukota baru tau tiket keretanya semacam bayar toll bukan yang beli tiket kak pada umumnya😂 terima kasih kak sudah mewakilkan,"['sebagai', 'orang', 'non', 'ibukota', 'baru', 'tau', 'tiket', 'keretanya', 'semacam', 'bayar', 'tol', 'bukan', 'yang', 'beli', 'tiket', 'kak', 'pada', 'umumnya!face_with_tears_of_joy!', 'terima', 'kasih', 'kak', 'sudah', 'mewakilkan']"
37,@tanyakanrl Daerah mana? Agak mahal soalnya token isi sendiri wkwkwk tp kalo di ibukota yay aja sih,daerah mana agak mahal soalnya token isi sendiri wkwkwk tapi kalo di ibukota yay saja sih,"['daerah', 'mana', 'agak', 'mahal', 'soalnya', 'token', 'isi', 'sendiri', 'wkwkwk', 'tapi', 'kalo', 'di', 'ibukota', 'yay', 'saja', 'sih']"
38,"Nait geng 
Sepi ibukota jam segini
Justru inilah suasana jalan yg byk orang2 
Impikan.
Setelahnya seharian penuh sesak dgn suara mesin kendaraan, klakson dan polusi
Istirahat kataku https://t.co/8JSWj7Q6cd",nait geng sepi ibukota jam segini justru inilah suasana jalan yang banyak orang impikan setelahnya seharian penuh sesak dengan suara mesin kendaraan klakson dan polusi istirahat kataku,"['nait', 'geng', 'sepi', 'ibukota', 'jam', 'segini', 'justru', 'inilah', 'suasana', 'jalan', 'yang', 'banyak', 'orang', 'impikan', 'setelahnya', 'seharian', 'penuh', 'sesak', 'dengan', 'suara', 'mesin', 'kendaraan', 'klakson', 'dan', 'polusi', 'istirahat', 'kataku']"
39,"Jangankan bangun Ibukota, bangun wisma atlet saja mangkrak menjadi candi Hambalang https://t.co/2aa4OYXUzy",jangankan bangun ibukota bangun wisma atlet saja mangkrak menjadi candi hambalang,"['jangankan', 'bangun', 'ibukota', 'bangun', 'wisma', 'atlet', 'saja', 'mangkrak', 'menjadi', 'candi', 'hambalang']"
40,@OposisiCerdas Kok antusias banget ama kota tua. Itu ibukota penjajah yang berkolaborasi aman cukong2 cina 350 tahun menjajah INDONESIA. Bangsa yang aneh 🤣🤣🤣,kok antusias banget sama kota tua itu ibukota penjajah yang berkolaborasi aman cukong cina tahun menjajah indonesia bangsa yang aneh 🤣🤣🤣,"['kok', 'antusias', 'banget', 'sama', 'kota', 'tua', 'itu', 'ibukota', 'penjajah', 'yang', 'berkolaborasi', 'aman', 'cukong', 'cina', 'tahun', 'menjajah', 'indonesia', 'bangsa', 'yang', 'aneh', '!rolling_on_the_floor_laughing!!rolling_on_the_floor_laughing!!rolling_on_the_floor_laughing!']"
41,"Seperti bangunan2 zaman dulu di kota tua Jakarta, maupun di beberapa  ibukota Provinsi lainnya..jk di kota Medan ada kantor LonSum, Bank Indonesia, dan beberapa kota lainnya spt di Semarang.",seperti bangunan zaman dulu di kota tua jakarta maupun di beberapa ibukota provinsi lainnyajk di kota medan ada kantor lonsum bank indonesia dan beberapa kota lainnya seperti di semarang,"['seperti', 'bangunan', 'zaman', 'dulu', 'di', 'kota', 'tua', 'jakarta', 'maupun', 'di', 'beberapa', 'ibukota', 'provinsi', 'lainnyajk', 'di', 'kota', 'medan', 'ada', 'kantor', 'lonsum', 'bank', 'indonesia', 'dan', 'beberapa', 'kota', 'lainnya', 'seperti', 'di', 'semarang']"
