created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Nov 16 10:13:41 +0000 2023;1725094784224940503;"Sejauh ini Indonesia telah mengirimkan 21 ton dari 51 ton bantuan ke Palestina serta mengusulkan untuk mengirimkan kapal rumah sakit yang dapat dipakai oleh korban di Gaza. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;1718882541074358272;1725094758203486376;KarinaP35443364;https://twitter.com/KarinaP35443364/status/1725094784224940503
Thu Nov 16 10:13:37 +0000 2023;1725094763849003260;"Menteri Pertahanan RI Prabowo Subianto menekankan sikap Indonesia yang terus berkomitmen dalam memberikan bantuan terhadap korban yang terus berjatuhan dalam konflik Palestina-Israel. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;1718882541074358272;1725094758203486376;KarinaP35443364;https://twitter.com/KarinaP35443364/status/1725094763849003260
Thu Nov 16 10:10:54 +0000 2023;1725094081196683387;"Anak gw umur 5 tahun udah nanya:  Yah, itu bendera apa? (Nunjuk bendera Palestina) Indonesia sama Palestina itu temenan kan yah?  Iya doooooong. Support terus!";0;0;0;0;in;1652249023;1725094081196683387;ajinomongapain;https://twitter.com/ajinomongapain/status/1725094081196683387
Thu Nov 16 10:10:21 +0000 2023;1725093944802042299;"Terbaru, viralkan seluas-luasnya! Bantuan kemanusiaan untuk rakyat Palestina 🇵🇸 dari HILMI-FPI-KPA serta dari sumbangsi masyarakat Indonesia 🇲🇨 https://t.co/2vsGIbFrAR";6;17;747;1145;in;1364378082983878656;1725093944802042299;Elz4m_;https://twitter.com/Elz4m_/status/1725093944802042299
Thu Nov 16 10:04:01 +0000 2023;1725092349569802591;"@_nurul_izzati_ @numanmazlan Zionis berani cuma bom hospital Turki, Malaysia dan Palestina, mereka takut sama indonesia, mendekati pun mereka takut koq . . Malaysia kenapa diam sahaja hospital sama sekolahnya di bom ?? . . .";0;1;0;0;in;1557744639951929344;1724957953357434919;AbdulMalik2703;https://twitter.com/AbdulMalik2703/status/1725092349569802591
Thu Nov 16 10:00:03 +0000 2023;1725091349777842534;"Relawan kemanusiaan di Gaza, Muhammad Husain, akhirnya tiba Tanah Air, dan langsung disambut keluarga besarnya di Bandara Soekarno Hatta, pada Rabu. Sementara, puluhan ibu-ibu menggelar doa bersama untuk Palestina. https://t.co/ns6OyEQSsE https://t.co/i8oLzgiClS";0;0;0;0;in;3306771829;1725091349777842534;CNNIDdaily;https://twitter.com/CNNIDdaily/status/1725091349777842534
Thu Nov 16 09:54:38 +0000 2023;1725089990181572728;"Saatnya Indonesia berada di barisan terdepan untuk memimpin misi kemerdekaan Palestina . . . #tolakterorisme #tolakekstremisme #moderasiberagama #tolakintoleransi #tolakradikalisme https://t.co/wsTWnKJRSC";0;0;0;0;in;969896183979130880;1725089990181572728;moderasikalbar;https://twitter.com/moderasikalbar/status/1725089990181572728
Thu Nov 16 09:54:18 +0000 2023;1725089905486036998;"Saya prihatin dengan ketidakpedulian Amerika atas permintaan Indonesia. Namun sebaiknya Indonesia perlu mempelajari lebih dalam lagi akar masalah Konflik Israel Palestina dengan memahami kacamata dari kedua belah pihak. Selama ini Indonesia hanya memakai kacamata Palestina...";0;0;0;0;in;1645273349487202307;1725089905486036998;Henry6585Pl;https://twitter.com/Henry6585Pl/status/1725089905486036998
Thu Nov 16 09:53:05 +0000 2023;1725089596768424307;"@kukeKIKEkoke @letihgundah @bhaktiutama @VeronicaKoman Orang papua kan warga negara Indonesia. Jadi tidak dijajah.  Klo orang Palestina kan bukan warga negara Israel tapi hidup di bawah kekuasaan Israel, jadi ya itu penjajahan.";0;0;0;0;in;1716088275516203008;1724653038932246840;VgoA99;https://twitter.com/VgoA99/status/1725089596768424307
Thu Nov 16 09:47:09 +0000 2023;1725088103751352431;"Indonesia juga berkomitmen untuk membantu rakyat Palestina di Gaza, dan sudah mengirim 21 ton bantuan kemanusiaan. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;1287936042750758912;1725088032343384490;mercifulove;https://twitter.com/mercifulove/status/1725088103751352431
Thu Nov 16 09:45:00 +0000 2023;1725087563109863605;"Pemerintah Indonesia, sebut dia, akan berupaya semaksimal mungkin untuk melanjutkan bantuan kemanusiaan bagi rakyat Palestina dan solusi yang damai bagi Myanmar. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;1287936042750758912;1725087499444527541;mercifulove;https://twitter.com/mercifulove/status/1725087563109863605
Thu Nov 16 09:42:26 +0000 2023;1725086917925257469;"@camilajenie @AbidinIdris7 Satu orang ? 894 petugas KPPS meninggal misterius masih jadi PR sejarah kemanusiaan,murah nyawa rakyat Indonesia semurah rakyat Palestina, bila kezaliman merajalela,Maka mempertahankan Haq adalah prioritas bagi yg merasa manusia. Pemimpin hasil curang akan menghasilkan kecurangan https://t.co/DoE4TJOdjn";1;2;5;11;in;1667213278240706560;1725018176046715329;alfatih212426;https://twitter.com/alfatih212426/status/1725086917925257469
Thu Nov 16 09:40:43 +0000 2023;1725086487203688614;"@kompascom Tolong dibantu ya, drun...warga Aceh mulai nolak tuh...belum lg anak2 Palestina yg mau disekolahin di Indonesia oleh wan abud 😂";0;0;0;1;in;787387404403380224;1725041427745567107;yungyung369;https://twitter.com/yungyung369/status/1725086487203688614
Thu Nov 16 09:39:12 +0000 2023;1725086104964227367;"Posisi Indonesia jelas .. Kita akan berdiri bersama Palestina. Membela rakyat Palestina adalah membela kemanusiaan.  Yaqut Cholil Qoumas Menteri Agama Republik Indonesia. https://t.co/1sukaC7L7T";0;0;0;1;in;58800783;1725086104964227367;penguasahati;https://twitter.com/penguasahati/status/1725086104964227367
Thu Nov 16 09:37:55 +0000 2023;1725085781793046961;"Banyak dari masyarakat yang melihat kondisi itu memberikan uluran tangannya untuk meringankan penderitaan Palestina. Bahkan Indonesia, juga turut serta dalam memberikan bantuan.   #threadtvOne";0;2;2;1;in;55507370;1725085549067981230;tvOneNews;https://twitter.com/tvOneNews/status/1725085781793046961
Thu Nov 16 09:37:26 +0000 2023;1725085660187599325;"@adithyadiah @tifsembiring Sejak kapan Palestina ada tanah ?";0;0;0;0;in;1683336034573254656;1724928674732867695;NusantaraSaja;https://twitter.com/NusantaraSaja/status/1725085660187599325
Thu Nov 16 09:36:02 +0000 2023;1725085305777057990;"@MarioInferno @moizz168 @Botjah_Tzemprul @DeHoutman_id Tau dari mana..??? Eluh pendukung Israel minggat sana ke Israel  Krna persiden Indonesia pun dukung Palestina 🇵🇸 Otak udh Luh";0;1;0;0;in;1070798687327186945;1724658940934496621;Karinbahary2;https://twitter.com/Karinbahary2/status/1725085305777057990
Thu Nov 16 09:30:29 +0000 2023;1725083911271874720;"BREAKING NEWS  Presiden bangsa kera ini  MENGANCAM akan MENYERANG INDONESIA &amp  mengatakan akan membuat rakyat INDONESIA spt Palestina INDONESIA CINTA DAMAI, tp tdk akan mundur jk diperangi  bangsa hina calon kera dan babi, besar mulut, tukang fitnah, beraninya ma anak² --- TNI AU https://t.co/qKa8FdXOLM";36;179;421;604;in;1104200981674287105;1725083911271874720;Been4Q59;https://twitter.com/Been4Q59/status/1725083911271874720
